Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Avg Time Per Page,Timespend,Return
5,11.051381236591851,0.230651936613825,Organic,3.890460070474997,0.7780920140949994,14.941841307066849,1
4,3.429315699032408,0.3910013338541704,Social,8.478174486998954,2.1195436217497385,11.907490186031362,0
4,1.621052045863385,0.3979861064942929,Organic,9.636169627400935,2.409042406850234,11.25722167326432,1
5,3.6292789551861424,0.180457684705222,Organic,2.071924676446509,0.4143849352893018,5.7012036316326515,1
5,4.235843279057931,0.2915408735093031,Paid,1.9606538296835625,0.3921307659367125,6.196497108741493,1
3,4.541867820189699,0.4207400490026312,Social,3.438711547796116,1.1462371825987054,7.980579367985815,1
5,1.9495580162309407,0.0349781570158815,Social,2.1192714722548773,0.42385429445097544,4.068829488485818,0
4,1.6857397554121445,0.2523427595625629,Paid,3.4780157014833533,0.8695039253708383,5.1637554568954975,1
6,0.0332680331834028,0.120702770574107,Organic,5.285519080243383,0.8809198467072306,5.318787113426787,0
7,7.833741754811087,0.2127268859236291,Paid,4.060115222739396,0.5800164603913424,11.893856977550485,1
2,2.773784434424699,0.4857678223385693,Direct,2.9736527872816234,1.4868263936408117,5.747437221706322,1
5,0.6812812938933654,0.4538905515767142,Referral,1.4990085570331235,0.2998017114066247,2.180289850926489,0
5,7.562350901457057,0.2635519765790136,Social,9.68859191827762,1.937718383655524,17.250942819734675,0
6,7.392909562806381,0.2633359443463259,Paid,4.981015475004269,0.8301692458340448,12.37392503781065,1
4,13.58023186909955,0.3205880939741078,Paid,5.802188906041352,1.450547226510338,19.3824207751409,1
6,6.215767159872134,0.2966410058170743,Paid,10.028903177808292,1.6714838629680486,16.244670337680425,1
6,18.336679603402363,0.3376945510103158,Referral,2.984756677500051,0.49745944625000854,21.321436280902414,0
1,0.8418659136590263,0.2493163814079028,Social,8.303624479819767,8.303624479819767,9.145490393478793,0
7,5.540223444247188,0.2566845470224227,Paid,8.79349224549781,1.2562131779282584,14.333715689744997,1
2,5.19529648769634,0.1729777360004424,Paid,2.88998002366816,1.44499001183408,8.0852765113645,1
11,0.7877602686116874,0.2516407259960402,Organic,11.69293806671197,1.0629943697010882,12.480698335323657,1
4,0.3108778925904152,0.6443099889585625,Organic,4.164912574168854,1.0412281435422135,4.475790466759269,1
3,11.650381526779784,0.2873295684888015,Direct,6.025224138779933,2.008408046259978,17.675605665559715,0
8,1.0530353932538,0.1835897156595087,Organic,3.727506649888684,0.4659383312360855,4.780542043142484,1
3,6.141313177985501,0.0931458395300509,Social,5.083885619406432,1.6946285398021441,11.225198797391933,1
3,0.0124070846501974,0.1188282623941044,Referral,1.3362649572248342,0.4454216524082781,1.3486720418750315,1
5,0.063746928355616,0.0560941217204222,Social,7.053034390259116,1.4106068780518233,7.1167813186147315,0
8,1.881355422317819,0.0132641641178454,Direct,2.1077428505750926,0.2634678563218866,3.9890982728929116,1
3,0.8182412064917589,0.1580981551151219,Referral,15.022219699523305,5.007406566507768,15.840460906015064,1
2,3.5120133708249206,0.1350331065052273,Social,1.5528284464131656,0.7764142232065828,5.0648418172380865,0
5,2.501122170816019,0.1237309497639832,Organic,3.296032105806264,0.6592064211612528,5.797154276622283,1
3,0.2419575224050296,0.4444082062720181,Referral,2.638993031698373,0.8796643438994577,2.8809505541034026,1
8,0.5324616499450573,0.2509032190407618,Social,0.9660238146126964,0.12075297682658705,1.4984854645577537,1
10,1.4733105190261189,0.2134857990452205,Organic,9.004402386978137,0.9004402386978138,10.477712906004257,0
3,0.6159258699612696,0.0755362219785417,Referral,1.9512684578896329,0.6504228192965443,2.5671943278509026,0
2,4.713860244535957,0.6819301199136395,Social,3.8695259450719535,1.9347629725359767,8.58338618960791,1
5,1.6139237092345338,0.3684717274880268,Social,1.687480629380767,0.3374961258761534,3.301404338615301,0
7,0.2942672727913847,0.1483101754810614,Organic,7.171731070045035,1.0245330100064336,7.46599834283642,1
6,1.9869398210752247,0.2303267171713325,Referral,2.9924661629200124,0.49874436048666876,4.979405983995237,0
6,0.2856965460413616,0.4804925449137873,Organic,4.219468464008543,0.7032447440014238,4.505165010049904,0
2,0.4141239741595808,0.2664108739926462,Referral,3.2797725492389875,1.6398862746194938,3.6938965233985686,0
4,0.8217707955761175,0.1254543622118361,Paid,4.612913657593009,1.1532284143982523,5.434684453169127,0
9,5.888235000079522,0.2932490957301747,Paid,8.652438902021206,0.9613821002245785,14.540673902100728,0
7,7.755342687286447,0.4608732858210607,Paid,3.300934783726686,0.47156211196095515,11.056277471013132,0
11,5.250546842673495,0.2885054510603321,Organic,5.2768128128400615,0.47971025571273285,10.527359655513557,1
8,1.2197446716971667,0.6132410977968061,Organic,3.0619349856020834,0.38274187320026043,4.28167965729925,0
3,0.9542029865321496,0.4013297362846464,Organic,1.4256441294342004,0.4752147098114001,2.37984711596635,0
2,2.38989963442255,0.1894808144101669,Referral,4.237897870312852,2.118948935156426,6.627797504735402,1
3,3.838818315655759,0.189265462107479,Social,1.593548073244933,0.5311826910816443,5.432366388900692,1
4,15.049713300643354,0.0305251444806434,Organic,2.8738706829314733,0.7184676707328683,17.92358398357483,0
5,0.4232073450418146,0.8449393803434533,Organic,0.7278104461411538,0.14556208922823075,1.1510177911829684,1
5,0.1516449233206013,0.1892291636317873,Paid,3.970197239543308,0.7940394479086617,4.121842162863909,1
4,3.5560016694394703,0.1605296507171907,Referral,3.15454998708788,0.78863749677197,6.71055165652735,1
3,5.3554084587506505,0.38612473548671,Organic,3.8340733205967767,1.2780244401989256,9.189481779347428,0
8,5.619210148332473,0.3589295820700379,Organic,3.9109380779702,0.488867259746275,9.530148226302673,1
2,3.403933092165628,0.04820166890094,Organic,4.879187493991548,2.439593746995774,8.283120586157176,1
1,9.238372528003191,0.5263555174915215,Organic,5.415281971069926,5.415281971069926,14.653654499073117,1
4,2.146207592864058,0.1592057388481888,Organic,14.33851630786508,3.58462907696627,16.484723900729136,1
5,7.353770371452756,0.2228967038497635,Organic,9.840270639683602,1.9680541279367205,17.194041011136356,1
4,10.308497468065536,0.6463903300210974,Referral,5.3168998790137945,1.3292249697534486,15.62539734707933,0
3,5.6350410547428265,0.05417940231829,Referral,2.769737314803667,0.9232457716012222,8.404778369546493,0
4,1.1121415028208963,0.2937539594143235,Organic,2.8142589453247195,0.7035647363311799,3.926400448145616,0
8,0.6552728058899355,0.2682410176642265,Referral,0.3706030514512945,0.046325381431411815,1.02587585734123,1
2,2.3830162947800466,0.0831142767294545,Paid,1.586549520701836,0.793274760350918,3.9695658154818827,0
2,1.810000328651607,0.15809285358717,Direct,3.079790781764523,1.5398953908822615,4.88979111041613,1
2,6.305266175252669,0.2490188500275188,Organic,4.219020147523022,2.109510073761511,10.52428632277569,1
7,0.3161871190548802,0.2342165415543504,Referral,18.23996375799351,2.6057091082847874,18.556150877048392,1
6,0.8941673264414414,0.2200510159535976,Referral,4.770245175706212,0.795040862617702,5.664412502147654,1
7,4.18054846103158,0.1036292297839558,Organic,5.464398172543695,0.780628310363385,9.644946633575275,1
6,0.2994167353798396,0.496233396048682,Direct,1.380698486793157,0.2301164144655262,1.6801152221729967,1
7,1.1603617541895956,0.5398582919283599,Paid,2.25388062686357,0.3219829466947957,3.4142423810531657,0
6,1.4689316184688963,0.1151879431335723,Referral,3.096119050330377,0.5160198417217295,4.565050668799273,0
4,2.923299626646029,0.171382316277028,Organic,0.9899936276823876,0.2474984069205969,3.9132932543284165,1
2,0.5163984409013744,0.1901883878897562,Organic,4.6816217034678,2.3408108517339,5.198020144369175,0
3,5.911319979457081,0.3238853886802373,Paid,1.962131629101919,0.6540438763673063,7.873451608559001,1
4,1.7801348783852746,0.2735038876920478,Organic,1.2233165297261226,0.30582913243153065,3.003451408111397,1
7,7.4675288829847695,0.5093217486631368,Paid,6.3634723300972365,0.9090674757281766,13.831001213082006,0
4,1.8926018888608167,0.1397961636790493,Organic,3.1033895265566587,0.7758473816391647,4.995991415417476,0
3,0.9649174657281344,0.4854521835042943,Referral,4.377897111227182,1.4592990370757273,5.342814576955316,0
2,0.4588550970831323,0.36961868677751,Paid,1.24304707030713,0.621523535153565,1.7019021673902621,1
6,0.0112563754111372,0.1831266779641198,Organic,5.900334030844856,0.9833890051408094,5.911590406255994,1
3,2.2788706382199604,0.4759607164569466,Referral,5.027113599371577,1.6757045331238591,7.305984237591538,0
5,0.3400325579558769,0.3141586794354785,Paid,3.714916639818429,0.7429833279636858,4.054949197774306,1
9,1.4913982201312304,0.1249713200345534,Organic,5.792328941717439,0.643592104635271,7.2837271618486685,0
6,2.6694705082287595,0.3970800939316899,Organic,2.26065897364644,0.37677649560774,4.9301294818752,1
6,0.9675904098674976,0.2322428524572279,Organic,2.6504010685917785,0.4417335114319631,3.617991478459276,0
9,0.5779313974360883,0.6457106694868895,Organic,2.5728844533515853,0.2858760503723984,3.150815850787674,1
4,4.471255226016584,0.1471812206831701,Direct,0.7919360899622273,0.19798402249055683,5.263191315978812,1
9,8.80059288553245,0.2898801421887009,Paid,2.997510010313455,0.3330566678126061,11.798102895845904,0
2,0.3175499658303944,0.1671402525916281,Organic,3.4937756517619354,1.7468878258809677,3.81132561759233,1
10,0.5073525135162468,0.2354840228585739,Organic,2.134253607453947,0.2134253607453947,2.6416061209701938,0
6,9.657576918783365,0.051086870800733,Organic,3.1070076519935896,0.5178346086655983,12.764584570776954,1
9,0.1155496554534393,0.1100238844017761,Paid,3.276242705373073,0.3640269672636748,3.3917923608265124,0
4,11.400416877338902,0.0669185959955765,Organic,5.5535489926849735,1.3883872481712434,16.953965870023875,1
1,0.0139659066271273,0.3133613570187845,Paid,5.755733747613868,5.755733747613868,5.769699654240995,1
6,6.206541319901083,0.2563381237756467,Organic,9.081799797021272,1.5136332995035453,15.288341116922355,0
8,1.1015838796582622,0.3068085992120768,Social,2.2705261958393845,0.28381577447992307,3.3721100754976465,1
6,8.370491992142888,0.2964079056711756,Organic,7.478524876377625,1.2464208127296041,15.849016868520513,0
2,1.143540954398527,0.3815736795386159,Paid,6.619431041505792,3.309715520752896,7.762971995904319,1
3,3.186606655219403,0.068599468370799,Referral,1.1218573860138978,0.3739524620046326,4.308464041233301,1
5,0.2502510344556304,0.045909718802066,Paid,6.971477091571966,1.3942954183143932,7.221728126027597,1
3,0.8325212864557237,0.2831866242706098,Social,1.1263977197236308,0.3754659065745436,1.9589190061793544,0
3,4.457407393190684,0.1311917349714964,Referral,3.7901010927703633,1.2633670309234544,8.247508485961047,0
5,2.2566912899066884,0.1727127120638288,Paid,7.826826066796699,1.5653652133593399,10.083517356703387,1
6,7.891978664572248,0.3998181506527994,Paid,0.4243939424485501,0.07073232374142502,8.316372607020798,0
5,1.679792406433677,0.227532182911388,Direct,5.162229294657114,1.0324458589314227,6.842021701090791,0
3,6.116335587742476,0.3909923542014915,Referral,1.2486325879613145,0.4162108626537715,7.36496817570379,0
5,1.7878187921382305,0.5042881717594425,Direct,9.227409198604729,1.8454818397209458,11.015227990742959,1
3,11.625378244874224,0.2852315842956066,Organic,6.473043947706223,2.1576813159020745,18.098422192580447,0
3,9.64423172393417,0.5739087701953813,Paid,0.9140210593945092,0.3046736864648364,10.55825278332868,1
6,1.1975696904893145,0.1617778916894449,Direct,2.3981329274077803,0.39968882123463007,3.5957026178970946,0
5,6.512662490682253,0.1351135552621585,Organic,8.233772652219175,1.646754530443835,14.746435142901428,1
6,5.643963817427391,0.23675500359878,Direct,4.468721981755516,0.7447869969592528,10.112685799182907,1
2,0.7097519011818283,0.164526487976559,Organic,5.685964728757378,2.842982364378689,6.395716629939207,0
4,2.936816329533221,0.2530427949307719,Direct,2.644228965632059,0.6610572414080147,5.58104529516528,0
7,0.2263772114878869,0.5457533592735235,Paid,6.688997323275894,0.9555710461822705,6.915374534763781,0
6,5.436695792351719,0.1036711961214268,Organic,10.679449414627271,1.779908235771212,16.11614520697899,1
5,0.5754647995443896,0.2566508003454342,Social,1.4213801693060428,0.2842760338612086,1.9968449688504324,0
4,0.2203412992879926,0.4494711140356089,Organic,2.5218802882446263,0.6304700720611566,2.742221587532619,1
3,1.5335725490526284,0.3171730094227865,Organic,4.474073839817083,1.4913579466056943,6.007646388869712,1
3,2.580597142110548,0.1876220487689337,Organic,3.058990147789545,1.0196633825965151,5.639587289900093,1
7,5.7913470027108005,0.1941115524545964,Referral,4.3985189793959245,0.6283598541994178,10.189865982106724,0
7,10.977091268977032,0.4438276047983579,Direct,5.067110645459287,0.7238729493513267,16.04420191443632,1
6,1.7367380342262182,0.199953157956209,Organic,3.072196813946721,0.5120328023244535,4.808934848172939,1
6,0.1870529002937989,0.2190782166390574,Paid,2.179539054299033,0.3632565090498388,2.366591954592832,1
7,4.1482887603234415,0.2709528740375334,Organic,3.784863276164753,0.5406947537378218,7.9331520364881944,1
8,2.498422852206063,0.3043091873047309,Referral,1.0710391996741937,0.1338798999592742,3.569462051880257,0
6,1.78203123907626,0.0552136922775337,Organic,1.9879835143919349,0.33133058573198915,3.770014753468195,0
3,1.1100139392391175,0.2162418595800752,Organic,2.725889501821931,0.9086298339406437,3.8359034410610486,1
7,2.0938673371432466,0.0510522902438839,Organic,3.551557937110545,0.5073654195872207,5.645425274253792,1
5,1.240550529563596,0.1139363263473978,Paid,8.767249214248691,1.7534498428497383,10.007799743812287,0
5,4.244228025902186,0.2112439156594694,Social,0.6689786983316508,0.13379573966633015,4.913206724233836,0
7,2.3550881247292024,0.3306023200701377,Paid,3.6438179525181646,0.5205454217883092,5.9989060772473675,0
4,6.28300224093805,0.2859935464951983,Organic,5.672679926459652,1.418169981614913,11.9556821673977,0
9,2.352788346448182,0.0562264496988952,Paid,2.9341606232289847,0.32601784702544273,5.286948969677167,0
4,0.8164594712035298,0.4772944870437045,Social,2.252288264698725,0.5630720661746812,3.068747735902255,0
5,5.713277467576045,0.1987990771428499,Organic,3.2758003650227674,0.6551600730045535,8.989077832598813,0
2,2.4440402679092195,0.3346154179043382,Organic,2.296890371421974,1.148445185710987,4.740930639331193,1
6,0.6951948633680447,0.1463059665156274,Organic,1.4920045781034217,0.24866742968390362,2.187199441471466,1
3,2.930573926598889,0.3152610306849136,Referral,1.8151687334964832,0.6050562444988278,4.745742660095372,0
6,1.3281776894388035,0.5123492200305838,Paid,1.84432529833492,0.30738754972248666,3.172502987773724,0
2,5.58150820981024,0.2780673788599246,Paid,14.264802931707855,7.132401465853928,19.846311141518093,1
3,1.8115637850745647,0.1575111953787996,Organic,4.103969067239065,1.3679896890796883,5.91553285231363,1
5,3.8887178019998303,0.1425346737889799,Organic,3.141011092559457,0.6282022185118914,7.0297288945592875,1
3,0.3012390165065718,0.2284727323906531,Direct,1.5561284920660086,0.5187094973553362,1.8573675085725805,0
4,1.5126641709219673,0.2769074232965213,Organic,9.791441185977844,2.447860296494461,11.30410535689981,0
5,12.266537687935152,0.0857546234540837,Direct,5.452240456492651,1.0904480912985304,17.7187781444278,0
6,4.957980378612432,0.1765612628140704,Paid,5.9369222268790125,0.9894870378131687,10.894902605491446,1
3,0.5228487487656157,0.5280604060827006,Organic,8.897551137734014,2.9658503792446713,9.42039988649963,1
3,0.9762101765975316,0.1945413159564688,Paid,2.3102080586045988,0.7700693528681996,3.2864182352021305,0
4,1.2006080766715876,0.0313796656053493,Direct,9.049868247078232,2.262467061769558,10.250476323749819,0
5,3.1526013866520888,0.1394595720655908,Paid,4.376876322838118,0.8753752645676236,7.529477709490207,1
4,4.244016809963814,0.2462714108251806,Social,7.275034714239368,1.818758678559842,11.519051524203181,1
2,4.153207760655973,0.177797786867308,Organic,3.5498083436792056,1.7749041718396028,7.703016104335179,1
6,2.139278678872115,0.3994584897869793,Paid,2.353521169793928,0.392253528298988,4.492799848666043,0
6,4.995177537594125,0.394311397066615,Social,5.883734969007183,0.9806224948345306,10.878912506601308,1
8,1.7238430529144333,0.0217225983360254,Direct,1.346004106652498,0.16825051333156224,3.0698471595669314,1
1,0.3967585690575952,0.2549449489445414,Paid,5.419541377159844,5.419541377159844,5.816299946217439,1
6,2.493380843270661,0.1152029675283075,Referral,0.2070173819999189,0.03450289699998648,2.70039822527058,1
